Driver,LapNumber,umap_x,umap_y
SAI,10.0,3.302505,-7.7054167
SAI,11.0,3.2147655,-7.480987
SAI,12.0,2.5469372,-7.362374
SAI,13.0,2.3853674,-7.866384
SAI,15.0,2.3181322,-9.379531
SAI,16.0,2.4685762,-9.127073
SAI,17.0,2.303323,-9.209215
SAI,18.0,2.1566195,-8.706747
SAI,19.0,2.4713545,-9.307547
SAI,20.0,2.698647,-7.7029934
SAI,21.0,3.0359435,-8.2340355
SAI,22.0,3.0116863,-8.06255
SAI,23.0,2.0457351,-8.050817
SAI,24.0,1.8837665,-8.083908
SAI,25.0,2.2690387,-8.680587
SAI,26.0,3.042957,-8.0322485
SAI,27.0,2.211897,-7.7772384
SAI,28.0,3.05241,-8.390639
SAI,29.0,2.6415892,-8.682042
SAI,30.0,2.9235818,-7.469023
SAI,31.0,2.4124594,-7.46118
SAI,33.0,2.534218,-9.39478
SAI,34.0,2.3826382,-9.444475
SAI,35.0,2.6332374,-9.082174
SAI,36.0,2.682821,-9.148289
SAI,37.0,2.224224,-8.911815
SAI,38.0,2.234771,-8.8296795
SAI,39.0,2.5996964,-8.935776
SAI,40.0,2.7937315,-8.942976
SAI,42.0,2.686751,-9.131203
SAI,43.0,2.695247,-9.144284
SAI,44.0,2.1581838,-8.004951
SAI,45.0,2.9359863,-8.461288
SAI,46.0,2.3067951,-8.080209
SAI,47.0,3.0461721,-8.376971
SAI,48.0,3.0525076,-8.115462
SAI,49.0,2.6658998,-7.703084
SAI,50.0,1.9315362,-7.9986725
SAI,51.0,1.8628911,-7.8132663
SAI,52.0,1.8849863,-8.268057
SAI,53.0,2.4099329,-7.7040787
SAI,54.0,2.471772,-7.794652
SAI,55.0,1.9821029,-7.7414927
SAI,56.0,2.013796,-7.712092
SAI,57.0,2.0073369,-8.085014
VER,1.0,5.849022,12.376056
VER,2.0,5.034801,10.826979
VER,3.0,5.182134,10.7505245
VER,4.0,4.471745,11.349886
VER,5.0,4.576824,11.198219
VER,6.0,5.434317,12.213718
VER,7.0,4.473944,11.32803
VER,8.0,5.108272,10.718771
VER,9.0,4.4494815,11.851031
VER,10.0,4.768585,10.953822
VER,11.0,4.7221155,11.049334
VER,12.0,4.436363,11.482965
VER,13.0,4.3415327,11.536723
VER,14.0,4.9826903,11.20719
VER,16.0,5.267126,10.832342
VER,17.0,5.1912785,10.98015
VER,18.0,5.5798736,11.141002
VER,19.0,5.7869163,11.120913
VER,20.0,5.0098157,10.835919
VER,21.0,5.225046,10.945033
VER,22.0,5.505483,11.274769
VER,23.0,4.601631,11.534454
VER,24.0,4.879378,11.328123
VER,25.0,5.587489,11.820971
VER,26.0,4.970459,12.100572
VER,27.0,4.8270802,11.275053
VER,28.0,4.6966724,11.672731
VER,29.0,4.409167,11.757543
VER,30.0,5.392573,12.352843
VER,31.0,5.031892,12.291286
VER,32.0,4.548633,11.914214
VER,33.0,4.532561,12.004175
VER,34.0,5.1396894,12.233838
VER,35.0,5.0543876,12.31381
VER,36.0,4.7030754,12.222855
VER,38.0,5.8696632,11.924396
VER,39.0,5.729759,12.081314
VER,40.0,5.8830996,11.902451
VER,43.0,5.884798,11.88835
VER,44.0,5.647439,12.377618
VER,45.0,5.410654,12.392949
VER,46.0,5.292942,11.368257
VER,47.0,6.0948343,11.488353
VER,48.0,5.5728774,12.247735
VER,49.0,5.9950027,11.505476
VER,50.0,6.142801,11.52275
VER,51.0,5.743104,12.390631
VER,52.0,6.062801,11.553621
VER,53.0,5.929056,11.230055
VER,54.0,6.013432,11.388535
VER,55.0,6.0568695,11.441023
VER,56.0,6.0029316,11.631967
VER,57.0,5.859172,12.39768
