dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,LapNumber
0.0,2.9816217,0.0,1.7635331,5.2159176,0.58774066,1.862318,4.0232463,1.9017497,4.1754665,0.0,1.8554169,3.191657,0.0,0.0,0.0,0.0,0.0,0.0,4.815157,1.0316825,2.8213735,1.9591483,4.163405,0.0,0.0,0.0,0.0,3.9125726,3.7464209,4.8758407,0.0,ALO,23.0
0.0,3.042066,0.0,1.499233,5.1170917,0.69758123,2.1055062,4.2344522,1.9874784,4.022512,0.0,2.3409197,3.1337671,0.0,0.0,0.0,0.0,0.0,0.0,4.6439276,0.8676187,2.660823,2.3791494,3.5478115,0.0,0.0,0.0,0.0,3.6463518,3.7391114,4.4691978,0.0,ALO,24.0
0.0,3.0365555,0.0,1.4591445,5.152127,0.77386475,2.00436,4.191455,2.0808454,4.0803,0.0,2.4039707,3.0120463,0.0,0.0,0.0,0.0,0.0,0.0,4.4890766,0.84291965,2.440891,2.3035076,3.441601,0.0,0.0,0.0,0.0,3.52381,3.8721182,4.336142,0.0,ALO,25.0
0.0,3.143823,0.0,1.9016716,5.4830317,0.5493068,2.0234437,4.2575684,1.8751023,4.411308,0.0,1.8036666,3.4935203,0.0,0.0,0.0,0.0,0.0,0.0,5.198267,1.1583983,3.167842,2.0998244,4.5222645,0.0,0.0,0.0,0.0,4.2130566,3.8639429,5.2657804,0.0,ALO,26.0
0.0,2.806225,0.0,1.7182108,4.9538608,0.45134106,2.1918142,4.1614084,1.8065242,3.9499824,0.0,2.089076,3.256061,0.0,0.0,0.0,0.0,0.0,0.0,4.5878525,1.0837067,2.784839,2.317661,3.851501,0.0,0.0,0.0,0.0,3.704225,3.6175268,4.598008,0.0,ALO,27.0
0.0,3.0816035,0.0,1.8306767,5.3700185,0.5696483,1.9119525,4.140713,1.9901043,4.318377,0.0,1.9805809,3.236728,0.0,0.0,0.0,0.0,0.0,0.0,4.914646,1.1658854,2.884193,2.2018108,4.187731,0.0,0.0,0.0,0.0,3.9760637,3.9052815,4.9212675,0.0,ALO,28.0
0.0,2.9000566,0.0,1.7239563,5.098422,0.56321484,1.8379489,3.940527,1.9875395,4.0856624,0.0,2.0596404,2.947491,0.0,0.0,0.0,0.0,0.0,0.0,4.5576925,1.1597418,2.615136,2.2380536,3.7906606,0.0,0.0,0.0,0.0,3.6680608,3.7425516,4.4849014,0.07206393,ALO,29.0
0.0,2.7848573,0.0,1.564608,4.9777617,0.6422617,1.5718046,3.673027,1.938887,4.013945,0.0,1.9505622,2.7510748,0.0,0.0,0.0,0.0,0.0,0.0,4.2861443,1.0226732,2.3339007,1.9781406,3.5608156,0.0,0.0,0.0,0.0,3.4293997,3.658408,4.2872853,0.065207034,ALO,30.0
0.0,3.0556993,0.0,1.6712354,5.192575,0.64285773,1.9446945,4.1389866,2.058594,4.115486,0.0,2.1664567,3.1000974,0.0,0.0,0.0,0.0,0.0,0.0,4.861969,1.0189203,2.809326,2.1706975,3.909868,0.0,0.0,0.0,0.0,3.8637633,3.7775924,4.7445292,0.0,ALO,31.0
0.0,3.078816,0.0,1.1239606,4.9795885,0.9063378,2.0888264,4.269047,2.0855775,3.9808688,0.0,2.6702075,2.9916687,0.0,0.0,0.0,0.0,0.0,0.0,4.182187,0.65460664,2.117756,2.5817645,2.8185213,0.0,0.0,0.0,0.0,3.1367798,3.890512,3.9146574,0.0,ALO,32.0
